Reference,Value,Description,Qty,MF,MPN,Alt. MPN,DK,LCSC
C1 C5 C21 C22 C23 C26 C27 C28 C30 C31 C32 C33 C34 C35 C36 C41 C42 C44 C45 C46 C48,1uF,CAP CER 1UF 16V X5R 0402,21,Taiyo Yuden,EMK105BJ105MV-F,,587-5514-1-ND,
C2 C3 C4 C17 C18 C19 C20 C43 C51 C54,100uF,CAP CER 100UF 6.3V X5R 1206,10,Samsung,CL31A107MQHNNNE,,1276-1782-1-ND,
C6 C7 C9,10uF,CAP CER 10UF 25V X5R 0603,3,Murata,GRM188R61E106KA73D,,490-18214-1-ND,
C8 C12 C29 C47 C49 C52 C53,0.1uF,CAP CER 0.1UF 16V X5R 0402,7,Samsung,CL05A104KO5NNNC,,1276-1234-1-ND,
C11,1000pF,CAP CER 1000PF 50V X7R 0805,1,Yageo,CC0805KRX7R9BB102,,311-1127-1-ND,
C13,100pF,CAP CER 100PF 10V C0G/NP0 0402,1,WE,885012005013,,732-7431-1-ND,
C50,470pF,CAP CER 470PF 50V X7R 0402,1,Samsung,CL05B471KB5NNNC,,1276-1566-1-ND,
J1,54-00164,CONN JACK R/A SMT 5.5X2.1MM,1,Tensility,54-00164,,839-54-00164CT-ND,C431534
J5,USB_C_Receptacle_USB2.0,USB Connectors USB Type C,2.0, Rec,SMT, 0.95mmTH Shell Stakes,G/F,RA,Top Mnt,T&R,1,GCT,USB4105-GF-A,,2073-USB4105-GF-ACT-ND,
J6,Conn_01x04,CONN HEADER VERT 4POS 2.54MM,1,Molex,0470531000,,WM4330-ND,
L1,300nH,FIXED IND 330NH 25A 0.00037OHM,1,WE,744308033,104CDMCCDS-R30MC,732-3024-1-ND,
R1,8.25k,RES 8K25 OHM 1% 1/16W 0402,1,Yageo,RC0402FR-078K25L,,311-8.25KLRCT-ND,
R5,14.7k,RES 14K7 OHM 1% 1/16W 0402,1,Yageo,RC0402FR-0714K7L,,YAG2984CT-ND,
R6,0,RES 0R OHM 1% 1/16W 0402,1,Yageo,RC0402FR-070RL,,311-0.0JRCT-ND,
R8,3.74k,RES 3K74 OHM 1% 1/16W 0402,1,Yageo,RC0402FR-073K74L,,311-3.74KLRCT-ND,
R9,11.8k,RES 11K8 OHM 1% 1/16W 0402,1,Yageo,RC0402FR-0711K8L,,YAG2958CT-ND,
R10,68.1k,RES 68K1 OHM 1% 1/16W 0402,1,Yageo,RC0402FR-0768K1L,,YAG3213CT-ND,
R11,10,RES 10R OHM 1% 1/16W 0402,1,Yageo,RC0402FR-0710RL,,311-10.0LRCT-ND,
R12,1,RES 1 OHM 1% 1/2W 1206,1,Stackpole,CSR1206FT1R00,,CSR1206FT1R00CT-ND,
R13 R14,49.9,RES 49R9 OHM 1% 1/2W 1206,2,Yageo,RC0402FR-0749R9L,,311-49.9LRCT-ND,
R15 R16 R17 R25 R26,10k,RES 10K OHM 1% 1/16W 0402,5,Yageo,RC0402FR-0710KL,,311-10KJRCT-ND,
R19 R20,1k,RES 1K OHM 1% 1/16W 0402,2,Yageo,RC0402FR-071KL,,311-1.00KLRCT-ND,
R21,2k,RES 2K OHM 1% 1/16W 0402,1,Yageo,RC0402FR-072KL,,311-2KLRCT-ND,
R22 R23,100,RES 100R OHM 1% 1/16W 0402,2,Yageo,RC0402FR-07100RL,,311-100LRCT-ND,
R24 R27 R28,5.6k,RES 5.6K OHM 1% 1/16W 0402,3,Yageo,RC0402FR-135K6L,,13-RC0402FR-135K6LCT-ND,
R29 R30,5.1k,RES 5.1K OHM 1% 1/16W 0402,2,Yageo,RC0402FR-075K1L,,311-5.10KLRCT-ND,C25905
SW1 SW2,GT-TC029B-H025-L1N,SWITCH TACTILE SPST-NO 0.05A 50V,2,CIT,CS1213AGF260,,2449-CS1213AGF260CT-ND,
U2,TPS546D24ARVFR,Switching Voltage Regulators 2.95-V to 16-V stac kable 40-A synchrono,1,TI,TPS546D24ARVFR,,296-TPS546D24ARVFRCT-ND,
U3,RT9080-33GJ5,IC REG LIN 3.3V 600MA TSOT-23-5,1,Richtek,RT9080-33GJ5,,1028-1509-1-ND,
U4,ESP32-S3-WROOM-1,RF TXRX MOD BT WIFI PCB TH SMD,1,Espressif,ESP32-S3-WROOM-1-N16R8,,1965-ESP32-S3-WROOM-1-N16R8CT-ND,
U5,MCP1824T-1202E/OT,IC REG LINEAR 1.2V 300MA SOT23-5,1,Microchip,MCP1824T-1202E/OT,,MCP1824T-1202E/OTCT-ND,
U6,MCP1824T-0802E,IC REG LINEAR 0.8V 300MA SOT23-5,1,Microchip,MCP1824T-0802E/OT,,MCP1824T-0802E/OTCT-ND,
U7,25MHz,1.2V ±20ppm 2mA ±30ppm 25MHz CMOS SMD3225-4P Crystal Oscillators ROHS,1,SCTF,SX3M25.000E20F30THN,OXLTDLJANF-25.000000,1664-OXLTDLJANF-25.000000CT-ND,C5137262
U8,BM1370_mode1,ASIC,1,,,,,
U9,SN74AVC4T774,Voltage Level Translator Bidirectional 1 Circuit 4 Channel 380Mbps 16-TSSOP,1,TI,SN74AVC4T774PWR,,296-24739-1-ND,
U10,EMC2101,IC FAN CTRLR I2C/SMBUS 8MSOP,1,Microchip,EMC2101-R-ACZL-TR,,EMC2101-R-ACZL-CT-ND,
